ID,Name,Description,Aliases
"exicon-1753308766458-dancing-bears","Dancing Bears","<p>Hands and feet on the ground, lift left leg and right arm to an uncomfortable height, then back on ground. Lift right leg and left arm to an uncomfortable height, return to the ground. Works great with a 4 count.</p>",""
"exicon-1753308766660-dancing-chilcutt","Dancing Chilcutt","<p>Elbow Plank w/alternating leg lifts in cadence. Great for the back, not so much for the elbows.</p>",""
"exicon-1753308766875-danger-zone","Danger Zone","<p>The Q plays \"Danger Zone\" by Kenny Loggins. The PAX continually performs side straddle hops (SSH). Every time the words \"danger zone\" are heard, the PAX does a single squat before resuming SSH. Alternatively, you can do burpees for each \"danger zone\" phrase. The end result is approximately 3.5 minutes of SSH with intermittent squats.</p>",""
"exicon-1753308767170-daniel-son","Daniel-Son","<p>Karate Kid crane kick position. Alternate legs in quick succession. \"If do right, none can defend.\"</p>",""
"exicon-1776003578289-darekong-merkins-","DareKong Merkins","<p>Crawl out, merkin, shoulder tap, merkin, shoulder tap; merkin, knee touch, merkin, knee knee touch; merkin, touch the foot, merkin, touch the foot; merkin, swing toe touch, merkin, swing toe touch; merkin, Mike Tyson, merkin; crawl back, then squat and up = 1 rep.</p>","[object Object]; [object Object]"
"exicon-1753308767439-dark-webbs","Dark Webbs","<p>A series of Webb routines. A Jack Webb starts with 1 Merkin and 2 Raise the Roofs, then the Merkins increase one at a time while the Raise the Roofs increase in that 1 to 2 ratio, so that you end with 10 Merkins and 20 Raise the Roofs. The Dark Webb consists of all the following, done without rest: Jack Webb - 1 Merkin to 2 Raise the Roofs House of Paine - 1 Jump Squat with 2 Iron Mikes / Bonnie Blairs / Jump Lunges (one per leg) Captain Thor - 1 Big Boy with 2 American Hammers (4 count, if you want the PAX to stop complaining) Happy Jack Webb - A bad marriage between a Happy Jack and a Jack Webb - 1 Burpee with 2 Side Straddle Hops (at this point 4 count is unnecessary) This one is fairly brutal, so don''t plan on getting much out of the PAX after it. Invented by Preach from Birmingham.</p>",""
"exicon-1753308767647-davinci-cartwheel","DaVinci Cartwheel","<p>Begin in a low squat. Reach across with both hands, placing your left hand next to your right foot and your right hand a bit further off. Push off with your feet, lift your hips over your shoulders into a mini tucked handstand, then (as gracefully as possible) put your feet back down past your right hand (left foot next to right hand), facing the same direction as you started. Rinse and repeat. Sometimes called a \"monkey crawl\" or \"monkey scoot.\" Can be done in both directions.</p>",""
"exicon-1765591979071-dayton-flyers-","Dayton Flyers","<p>Take flight like the original Dayton Flyer. PAX runs 25 yards, stops does a burpee with a jump squat, then runs 25 yards to end. Turn around and repeat process back to start. The more you do the better. Orville and Wilbur Wright would be proud.</p>",""
"exicon-1780327100523-death-rabbit","Death Rabbit","<p>Variation of the Murder Bunny. </p><p>Start as you would with a Murder Bunny by bending and moving the coupon forward as far our as possible. At this point PAX does a diamond merkin with hands on the coupon. \"Hop\" your feet to either side of the coupon. At this point PAX will  perform a thruster with their coupon. </p><p>Reset for the next rep.</p>",""
"exicon-1753308767849-death-star","Death Star","<p>Set 10 cones out in shape of star. Bear crawl to each cone and perform 30 merkins at each. Adds up to total of 300. Good times.</p>",""
"exicon-1753308768056-deck-of-death","Deck of Death","<p>A routine done with a deck of playing cards where each suit is an exercise and each card dictates the number of reps you do of that exercise all the way up to an Ace being 14 reps. Exercise complete when all 52 cards have been flipped.</p>",""
"exicon-1753308768271-deconstructed-burpees","Deconstructed Burpees","<p>The perfect exercise, broken down into pieces. Squats, then leg thrusts, then Merkins, then leg thrusts, then up. For example, do 10 squats, 10 leg thrusts, 10 Merkins, 10 leg thrusts, then up. Decrease reps by 1 each time until you get to 1 each.</p>",""
"exicon-1753308768484-deep-sea-diver","Deep Sea Diver","<p>Hip Slapper variation. Best used on steps. 1. Start with feet on 1st step. Perform x amount of Hip Slappers. 2. Move feet up 1 step. Perform x amount of Hip Slappers. Continue with this pattern, reaching desired pinnacle. (5 or more steps = F3). 3. Then move feet down 1 step. Perform x amount of Hip Slappers. Repeat pattern until reaching 1st step. Looks like a deep sea diver swimming down down down.</p>",""
"exicon-1753308768691-del-brown","Del Brown","<p>Named after saltwater fly fisherman who developed spectacular Merkin Crab fly. 10 Merkins then 25 yard Crab Walk then 10 Diamond Merkins then 25 yard Crab Walk then 10 Merkins. Repeato.</p>",""
"exicon-1753308768907-derkin","Derkin","<p>Decline merkin. Legs raised or elevated so that the push-up accents the arms.</p>",""
"exicon-1753308769117-derkin-n'diayes","Derkin N'Diayes","<p>The other end of the rainbow of the Makhtar N'Diayes movements: From Derkin position (feet up), a 5-count exercise in which you put each foot to the ground and back into regular Derkin position, and then complete a Derkin. Increase the incline to really burn your core.</p>",""
"exicon-1753308769331-derricks","Derricks","Derricks Single leg dead lift, slow 4-ct in cadence. Good warm up/balance move. Movement resembles oil derricks.",""
"exicon-1753308769620-devin-hester","Devin Hester","<p>Two PAX of similar speed, one with a rock or other coupon and a small headstart, race 100 yds. 2nd Pax attempts to run down the 1st. Created by Glass Joe in Union County.</p>",""
"exicon-1753308769832-diamond-david-lee-roth-burpee","Diamond David Lee Roth Burpee","<p>Burpee with a Diamond Merkin. Instead of just \"Jumping\", do a David Lee Roth scissor kick at the end.</p>",""
"exicon-1763417788156-diamond-merkin","Diamond Merkin","<p>A challenging push-up variation where you form a diamond shape with your hands by touching your thumbs and index fingers together directly under your chest. Lower your body until your chest nearly touches your hands, keeping your elbows close to your sides, then press back up to the starting position. This hand placement shifts emphasis to the triceps and inner chest while still engaging the core and shoulders. The narrow hand position makes this significantly more difficult than a standard merkin.</p>",""
"exicon-1753308770042-diego","Diego","<p>(Dora the explorer''s cousin) - Similar to Dora 1, 2, 3 but just tougher... Same partner situation but the exercises are as follows: 100 - Merkins, 150 - Overhead press w/ block, 200 - LBC, 250 - Block Curls, 300 - Squats w/ Block</p>",""
"exicon-1753308770253-dips","Dips","<p>Done on elevated surface such as benches, low walls, or even curbs. While in facing upward with hands on surface and legs laying on heels, lower body to work back of arms, shoulders and core.</p>",""
"exicon-1753308770463-dirty-harry","Dirty Harry","<p>Crab walk forwards or backwards. Every time a step is taken, stepping leg is extended parallel to ground before being placed back on ground. Best if done over a long distance.</p>",""
"exicon-1753308770669-dirty-hookup","Dirty Hookup","<p>Performed as 4 count exercise. Pax plank up, facing a wall with eyes on wall. \"1\" Right hand raised to press against the wall, \"2\" Left hand raised to the wall (now in horizontal plank), \"3\" Right hand down to ground, \"4\" Left hand down (back to plank position)</p>",""
"exicon-1753308771087-dirtymacdeuce","Dirty Mac Deuce","<p>4 sets of 3 exercises done to 12 4-count reps. Each set has one chest exercise, one leg exercise and one core exercise. After each set of three exercises, you run a lap of a track or whatever else is handy (parking lot, etc.)</p>",""
"exicon-1753308770877-dirty-man-maker","Dirty Man Maker","<p>With a ruck or coupon, perform a man maker. Burpee with squat thruster. Except at bottom, 3 hand release merkins, at the top, 3 squat thrusters. Do not warn PAX you plan to do these, as they may incite a mutiny.</p>",""
"exicon-1753308771318-dive-bombers","Dive Bombers","<p>Dive Bombers Dive Bomber is a Merkin with your hands ahead of your shoulders after you move to down position pull with your arms to move your hands behind your shoulders then push up.</p>",""
"exicon-1753308729692-bear-crawl-360","Dizzy Bear","<p>Dizzy Bear - Perform Bear Crawl while rotating 360 degrees the entire time around a coupon.  Q may call out “switch” to have PAX go from clockwise to counter clockwise, or vice versa.</p>",""
"exicon-1753308771522-dmc","DMC","<p>Best on a football field, but can be done with any designated points or posts. From the goal line, Duck Walk to the 10-yard line, 5 Merkins, Reverse Bear Crawl back to the goal line. Repeat to the 20, 30, 40, and 50 yardlines, increasing # of merkins by 5. Duckwalk-Merkin-Reverse Bear Crawl.</p>",""
"exicon-1772599296354-dmx","DMX","<p>Inspired by DMX's \"Ruff Riders' Anthem\" song and the \"stop, drop, ...\" lyrics.</p><p>Best as OYO on grass or turf.  No coupon needed.  Like a football training camp drill.  1 = 1</p><p>From a standing position; drop to the ground laying flat like a burpee on your chest and hands; roll over, get up, chop your feet.  Drop to the ground again; roll over the other way, get up, chop your feet.  Repeat until desired rep count or time limit.</p>",""
"exicon-1753308771734-do-ah-diddy","Do-ah-diddy","<p>Forming a single file formation in Indian run fashion, the PAX begins in a forward mosey pace. The Front Man Peels off performing a set amount of pre-determined movement (Squat, Merkin, Burpee, ect.) and Holds Plank until entirety of PAX has passed him, At which point he falls in rank taking the 6 position and announces LOUD &amp; PROUD \"6\". Front man on hearing the \"6\" call then continues the cycle until the Q is satisfied with the distance covered. Q can increase the \"6\" call from the beginning to shorten the periods between front men dropping. Be sure to not leave anyone behind and always pick up your 6!</p>",""
"exicon-1753308771947-doc-ock's-octogon-of-pain","Doc Ock's Octogon of Pain","<p>The PAX partner up &amp; start at different stations. Area is setup with cones in an Octagon - 8 Stations - one for each of the Doc Ock''s 2.0s - Each stations exercise begins with the respective 2.0's first letter of their name. PAX will perform 8 of each exercise, bear crawling from cone to cone after each exercise, after each completion around the Octagon the PAX jog to the middle, to pay respect to my better half and perform Motivator from 4. Station 1 - 2.0 - Decline Merkins; Station 2 - 2.1 - Jump Squats; Station 3 - 2.2 - Burpee; Station 4 - 2.3 - American Hammers; Station 5 - 2.4 - Outlaws; Station 6 - 2.5 - Lt. Dans; Station 7 - 2.6 - The Lion King; Station 8 - 2.7 - Jumping Spiders. Rinse and repeat adding 8 to each exercise each trip around the Octagon of Pain 8, 16, 24, 32... (Motivators continue from 4 each trip to the middle).</p>",""
"exicon-1777562588041-doc-wings","Doc Wings","<p>A killer shoulder \"warm-up\" from Doc out of F3 Twin Cities. All exercises are performed in cadence, without break. PAX should be reminded to keep their arms up after each exercises as rest is not permitted.</p><ul><li><p>Moroccan Nightclubs X30 Double Count </p></li><li><p>Arm circles forward X30 DC </p></li><li><p>Air Presses X30 DC </p></li><li><p>Arm circles back X30 DC </p></li><li><p>Grady Corn X30 DC</p></li><li><p>Jack Reachers X30 DC </p></li><li><p>Overhead Claps X30 DC </p></li><li><p>Chinooks X30 DC </p></li><li><p>Pretzels X30 DC</p></li><li><p>Seal Claps X30 DC </p></li><li><p>Raise the Roofs X30 DC</p></li></ul><p></p>",""
"exicon-1753308772157-dodo-bird","Dodo bird","<p>With two bricks assume the People's Chair, brick in each hand and at rest down your sides is the default position. In cadence or OYO, (1) side shoulder raise [arms straight and lifted to the sides to shoulder height], (2) back to default, (3) front shoulder raise [arms straight and lifted in front of you to shoulder height], (4) back to default. After doing these you''ll find out why the Dodo is extinct. First, never flap your wings in front of you. Second, never try to fly while holding bricks. This can be combined with the Wonder Bra to perform the Wonder Dodo. Follow 1, 2, 3 above, then (4) bring arms in to the chest, (5) shoulder press above your head, (6) bring arms back to the chest, (7) front shoulder raise, (8) back to default described above.</p>",""
"exicon-1753308772369-dog","Dog","<p>Hands and knees, as in \"pick up the #Dog\". Yeah, it probably comes from Yoga.</p>",""
"exicon-1753308772575-doggie-paddle","Doggie Paddle","<p>Starting position - In Dog (hands and knees). Extend opposite arm and leg at same time. In cadence, 1 - left arm and right leg extend, 2 - return to Dog, 3 - extend right arm left leg, 4 - return to Dog = 1 complete exercise. Good exercise for strengthening lower back and even the buttocks. For those who need more challenging and need to work on balance, extend arm and leg on same side (quickly reminded of your weak side).</p>",""
"exicon-1753308772790-dolly","Dolly","Dolly Ab exercise done laying on back, legs raised about six inches from ground. Keeping legs parallel to ground, separate legs outward then return to start.",""
"exicon-1753308773008-dominoes","Dominos","<p>Preferably performed in a parking lot with a row of curbs (can also be done on ground). Line up 1 or 2 PAX per curb down the parking lot, entire PAX side planks on curb with left hand high, starting at one end, first PAX rotates to regular plank position for set number of Merkins, first PAX then holds regular plank and next PAX rotates down for Merkins, and so on down the line. Once the entire PAX is in regular plank position, the entire PAX reverses and starts again with right hand high. Repeato as desired. When done properly the PAX should resemble dominoes slowly toppling over. Best for a larger PAX.</p>",""
"exicon-1753308773441-donkey-kick-offs","Donkey Kick-offs","<p>Before the initial circle of pain, find the nearest wall and do 5 donkey kicks. On the 5th donkey kick hold feet to the wall for 5 seconds. Then up the number to 10 donkey kicks and 10 second hold. Continue adding by 5's until the PAX is dead donkey tired. Great way to start off a workout!</p>",""
"exicon-1753308773653-donkey-kicks","Donkey Kicks","<p>While planking near a wall with your feet facing the wall, kick both feet up on wall above your body.</p>",""
"exicon-1753308773864-dora-1-2-3","Dora 1-2-3","<p>Teams of 2 pax working together to reach cumulative exercise goals of 100, 200, and 300 reps. Pax 1 executes as many reps as possible while Pax 2 sprints 100 yards down and back. Flapjack until team goal is reached. Exercises are a top-to-bottom of body progression, i,e, 100 merkins per team (chest), 200 LBCs per team (core), 300 squats per team (legs). Modified Dora 1-2-3 is 50, 100, and 150 reps.</p>",""
"exicon-1761835938598-dora-2100","DORA 2100","<p>The Dora 2100 is a routine with 3-4 PAX per team. One PAX at each of two stations, and the third/fourth PAX carries a coupon between stations, rotating through until all of the reps have been completed. The distance should be far enough to allow each PAX to complete around 10% of the reps each round. Should take 20-30 minutes. Station 1 Burpees x100 Merkins x300 LBCs x500 Station 2 Jump Squats x200 Lunges x400 Flutter Kicks (2x1) x600</p>",""
"exicon-1753308774069-doracides","Doracides","<p>Dora's twin sister and she is a lil' cray cray. Use the same concept as the regular Dora, 2 PAX work together to reach cumulative exercise goals of 100, 200, 300, and 400 reps. The difference comes in the sprint, instead of running 100 yards you will do suicides instead. 1 PAX member will execute as many reps as possible while PAX 2 sprints to cone 1 (or use a pole, tree, etc. for your point of turnaround), 1 burpee, sprint back to partner, touch, sprint to cone 2, 2 burpees, sprint back to partner, touch, sprint to cone 3, 3 burpees, sprint back, switch with partner. PAX member picks up where PAX member doing the exercises left off.</p>",""
"exicon-1753308774711-doubleapplesauce","Double Applesauce","<p>A two-column Indian run.</p>",""
"exicon-1753308774282-double-merkin-burpee","Double Merkin Burpee","<p>Burpee with 2 merkins.</p>",""
"exicon-1753308774497-double-shot-of-jackies","Double Shot of Jackies","<p>Burpee Variation where after the Merkin, perform a plank Jack (first shot) and after recovery, instead of just jumping, perform a Jumping Jack or SSH (2nd shot)</p>",""
"exicon-1753308774919-dr.-w","Dr. W","<p>Dr. W is a sufferable 8-count ab exercise that combines Dolly, Rosalita, and the W; often within the 6MOM. Always a #CrowdPleaser. 1 is legs apart like a Low Dolly, 2 is legs together, 3 is raise the legs to Rosalita position (45-60 degrees-ish), 4 is spread ''em, 5 is The W (hands together and stretching forward between your legs), 6 is the return to your back (legs still up), 7 is legs together, 8 is legs down. 5-8 Dr. W's is a good start to get the pax coordinated with the counting. 10 is a magic # that most build up to 15 is just dumb and torture #FetalPositionMaker Qtip '' We always emphasize that the W is on the 5 count. Kinda breaks down the motions and gives a 2nd starting point.</p>",""
"exicon-1753308775133-dragon-walk","Dragon Walk","<p>Dragon Walk Like the @Peter Parker (and Parker Peter) except you are moving forward. Resembles a Komodo Dragon walking.</p>",""
"exicon-1753308775337-dragon-wing","Dragon Wing","<p>A modified <span data-type=\"mention\" class=\"mention\" data-id=\"exicon-1753308728029-bat-wings-(aka-the-martina-special)\" data-label=\"Bat Wings (aka the Martina Special)\" data-mention-suggestion-char=\"@\">@Bat Wings (aka the Martina Special)</span> , where cinder are used in each hand</p>","[object Object]"
"exicon-1762826033870-dreadbow","Dreadbow","Rainbows with Coupon over your head, set your difficulty. In wide stance set difficulty, 1 Lean to one side, 2 back to center, 3 lean to other side, 4 back to upright. Beginner on head, Mid held half way up, Advanced full extension. ",""
"exicon-1753308775576-drill-instructors","Drill Instructors","<p>On the Q's command, rapidly transition through any combination of standing (\"On your feet!\"), holding 6\" (\"On your six!\"), high plank (\"On your face!\"), and Merkins (\"Down/Up\"). Speed, order, and duration are completely at the Q''s discretion, with the goal being to test the pax's reaction time and/or keep them in an uncomfortable position (esp. 6 inches or down part of Merkin). Inspired by a certain Marine at the Spring 2016 F3 Mud Run and best executed with a gruff, barking orders style. Example: \"On your face! On your six! On your face! On your six! On your feet! On your face! Down! Up! Down! Up! Down! [painful delay] Up!\"</p>",""
"exicon-1769892162773-dropzone","Dropzone","<p>Similar to <span data-type=\"mention\" class=\"mention\" data-id=\"exicon-1753308868744-superman\" data-label=\"Superman\" data-mention-suggestion-char=\"@\">@Superman</span>, lie prone on the ground with arms, legs, and head held up as high as possible. But instead of holding your arms out to the side, or forward, they are held up near your shoulders. Like a skydiver in freefall. Hold position to tolerance.</p><p>Named after the movie, Dropzone.</p>","[object Object]"
"exicon-1753308775790-dry-dock-crabs","Dry Dock Crabs","<p>A wrestling drill aka hip heists that needed a cool F3 name. Start in Carolina Dry Dock position and move right foot to approx. location of left hand while moving left hand to former position of right foot then back to dry dock and then other side all while keeping 6 off the ground. Done in cadence.</p>",""
"exicon-1753308776003-dubya","Dubya","<p>Grab the bar for a pull up variation. The first ''up'' is toward your left hand, the second ''up'' is a regular pull up to the middle, the third ''up'' is toward your right hand. Your chin traces a Dubya (W), aye?</p>",""
"exicon-1753308776212-duck-and-weave","Duck and Weave","<p>Pax line up as if doing an Indian Run, except this offers more pain. The Pax start duck walking and the six runs to the front by weaving in between each Pax member. Then he joins the rest of the Pax duck walking until everyone has weaved to the front at least once or until the Q's legs burn out.</p>",""
"exicon-1753308776419-duck-jousting","Duck Jousting","<p>Friendly combat between PAX in the duck walk position. Arms must remain crossing your chest. Bumping, nudging, rubbing and checking are highly encouraged. There is no biting, scratching, standing up or falling over or you are out. Kicking is actually allowed if you are possibly able to remain in the duck walk position on one leg. Last man to remain on his feet in the duck position is declared the winner. Best performed as the final exercise of 6MOM.</p>",""
"exicon-1753308776635-duck-walk","Duck Walk","<p>Duck Walk The duck walk is an exercise done by squatting and walking slowly, while relying on your hips, quadriceps, hamstrings and gluteal muscles for support.</p>",""
"exicon-1753308776843-dumbees","Dumbees","<p>Evil distant cousin of the classic burpee. Hold a 15 pound dumbbell in each hand while performing the classic burpee. The dumbells serve as bars for deeper merkins at the bottom and the added weight is a shoulder burner at the top. Any more than 15lbs is cruel and unusual punishment. 10 OYO should cause all mumblechatter to cease immediately due to oxygen depravity. If no dumbbells are available, hand sized rocks work well &amp; add a stability factor.</p>",""
"exicon-1753308777050-dutch-skate","Dutch Skate","<p>Push off explosively on one foot, jump forward ~45° in the opposite direction, and land on the lead foot in a half squat. Immediately pull the trailing foot behind so the shin contacts the landing leg’s calf; keep the trailing foot off the ground. Alternate sides while moving forward, resembling a forward-traveling speed skater. Best performed in single-file.</p><p>Cadence options: Q may call cadence on each push-off (“LEFT! RIGHT!”), or use a 4-count rhythm with push-offs on counts 1 and 3 and trailing-leg shin kisses on counts 2 and 4.</p>",""
"exicon-1753308777272-dwight-howard","Dwight Howard","Dwight Howard Standing facing a wall, jump from rest with both hands and touch as high up on the wall as possible (like Dwight Howard slapping a sticker on the backboard while dunking). AMRAP while your partner circles a building. Normally part of a larger set (people''s chair, rocky balboas, donkey kicks, etc.) of partner work.",""
"exicon-1753308777579-dying-cockroach","Dying Cockroach","Dying Cockroach 4-count ab exercise done lying down that involves touching hand to opposite leg, back down, then other hand to opposite leg. Form can vary wildly.",""
"exicon-1753308777877-e2k","E2K","E2K On your six. Right ankle over the left knee, bring your left elbow to your right knee. Switch. Aka the oblique crunch if you take the right foot and put that on the ground.",""
"exicon-1753308778461-earl-fonda","Earl Fonda","<p>A combination of the sleeping hillbilly and a jane fonda. You perform the exercise on a 4 count. First count is the upward motion of the jane fonda, second count is the downward motion, but you suspend your leg without touching the ground. The third count is bringing your leg up towards your chest and fourth count is extending the leg. Your leg will not touch the ground until the desired amount of reps are completed.</p>",""
"exicon-1753308778751-el-capitan","El Capitan","<p>El Capitan is a deep walking lunge going up a small hill. The lunge has the back leg straight out behind you, your front leg at 90 degrees or less - both hands go fully on the ground in merkin position on the inside of your front leg. Return to a standing position and repeat the lunge until you reach the top of the hill. Named El Capitan because it looks like you are scaling a sheer rock face.</p>",""
"exicon-1770402593155-elaine","Elaine Benes","<p>A warm-up exercise, similar to an Arm Circle or a <span data-type=\"mention\" class=\"mention\" data-id=\"exicon-1753308824640-moroccan-nightclub\" data-label=\"Moroccan Nightclub\" data-mention-suggestion-char=\"@\">@Moroccan Nightclub</span> , but with Elaine from the sitcom Seinfeld's dance moves. Start with your arms held out on each side and your thumbs pointed upward. Next, move your arms in a figure-eight pattern with your thumbs pointing the way.</p>","[object Object]"
"exicon-1753308778965-elevens","Elevens","<p>An exercise in which you start with 1 rep of one exercise and 10 reps of another exercise, then add one additional rep to the first exercise and subtract one rep from the second. The sum must always add up to 11. Example: Elevens along the oak trees at #45MinutesofMary with Burpees and Merkins starts you with 1 Burpee and 10 Merkins at the first tree, then 2 Burpees and 9 Merkins at the second tree, then 3 and 8 etc. until you do 10 Burpees and 1 Merkin at the last tree.</p>",""
"exicon-1753308779180-elf-on-the-shelf","Elf on the Shelf","Elf on the Shelf This exercise is done with one concrete block. Start with the block on the ground beside you. Grab the block and lift it from the ground across your body reaching up as high as you can. Like putting it on a shelf. After a set from right to left then do left to right. Named after some Elf on the Shelf mumble chatter at a workout around Christmas time.",""
"exicon-1753308779387-elizabeth-warren","Elizabeth Warren","<p>Elizabeth Warren Indian Run: while PAX are lunge-walking backwards in a line, the PAX in the front (back) will Bernie Sanders backwards to the back (front) of the line. Upon reaching the end of the line, they will resume lunge-walking backwards and yell 'go' so the next PAX can proceed with his Bernie.</p>",""
"exicon-1753308779674-elvis-meets-forrest","Elvis Meets Forrest","<p>Referencing the meeting between \"Elvis\" and \"Forrest Gump\" - alternative to lunges over a distance. Do your best impression of Forrest walking with leg braces and teaching Elvis his patented moves.</p>",""
"exicon-1753308779891-empty-wheelbarrow","Empty Wheelbarrow","<p>A belly up plank walk with someone holding your feet. Essentially a crabwalk with partner holding feet.</p>",""
"exicon-1753308780107-energizer-bunnies","Energizer Bunnies","Perform a murder bunny, then execute 3 Groiners (Starting from a pushup/merkin position, thrust your feet forward, landing outside of each hand. Thrust backwards to original position) after each \"Hop.\" Distance set by Q.",""
"exicon-1753308780396-escalator","Escalator","<p>10 jump-ups, 20 burpees, 30 merkins, 40 squats, 50 lunge-walks. Mix and match as long as reps go up by 10. Sometimes followed by a lap around a parking lot.</p>",""
"exicon-1753308780611-everest","Everest","<p>Find a set of stairs or a hill. Lunge up one step, perform 1 squat, lunge up with other leg, perform 1 squat, repeato to top. Works best with many steps or sizable hill.</p>",""
"exicon-1753308780817-f3-baseball","F3 Baseball","<p>Performed on a baseball diamond or using cones as bases. Pax are divided into four teams. Each team starts at its own base. Teams must complete a cumulative number of reps of different exercise at each base, for example, 120 team merkins at first, 120 team squats at second, 120 team crab cakes at 3rd, 120 team burpees at home, and then move using different modes of transportation to the next base. Each time a team passes the base it started on, it gets a point. Team with the most points after 20 minutes or some other set time wins.</p>",""
"exicon-1753308781047-failure-to-launch","Failure to Launch","<p>Hold Al Gore while Q counts down from 10. At Lift-Off, explode up into a tuck jump, immediately returning to Al Gore upon landing. Repeat until unable to leave the ground (usually around rep 8 or 9, depending on count speed)</p>",""
"exicon-1753308781265-fairy-jack","Fairy Jack","<p>Very quick Side Straddle Hop, where your feet only hit the ground in the middle. Usually done OYO.</p>",""
"exicon-1753308781476-febreze","Febreze","<p>On your six, do 2 Big Boy Situps. Remain upright after last BB and lift feet up 6\". Do 10 Air Presses. Back down for 4 BB followed by 20 Air Presses with legs held 6\". Repeat using increments of 2:10 ratio. (2:10, 4:20, 6:30, 8:40, 10:50, etc...) (Called \"The Febreze\" because PAX named Febreze always increases the difficulty of a workout and he was the one who decided to hold his feet up 6\" during the Air Presses.)</p>",""
"exicon-1753308781690-ferkin-(aka-fia-merkin)","Ferkin (aka FiA Merkin)","<p>Ferkin (aka FiA Merkin) A deviation from the Standard American Push-Up (the Merkin) whereby a PAX, either by design or exhaustion, drops to his knees to perform a Merkin. No shame will be dealt to said PAX as he has at least chosen to keep moving in the face of extreme physical toil and certain mumblechattered mockery.</p>",""
"exicon-1753308781901-fiddler-crab","Fiddler Crab","<p>Perform a crab walk movement except in a sideways direction.</p>",""
"exicon-1753308782113-field-of-dreams","Field of Dreams","<p>Created on a baseball diamond, but can be done in a field with cones. Start out by counting off by fours. 1s start at First Base (1st cone) do AMRAP Squats until relieved. 2s at Second Base (2nd cone) do AMRAP Merkins until relieved. 3s at Third Base (3rd cone) do AMRAP LBC''s until relieved. 4s at Home Plate (4th cone) will perform 15 Burpees then run to First, relieving the Pax there. Continue until all Pax have done the Burpees.</p>",""
"exicon-1753308782375-finger-tip-merkin","Finger-tip Merkin","<p>Just like a Merkin or a Knerkin, except you perform these on your finger-tips. Great for grip strength and preparing for obstacle races.</p>",""
"exicon-1753308782587-finkle-swings","Finkle Swings","<p>Meet the Finkle Swing, named for the infamous kicker ''Ray Finkle'' it is said that this was the stretch that lost him the big game. Pax swings one leg at a time back and forth to warm up those hips.</p>",""
"exicon-1753308782799-fire-drill","Fire Drill","<p>PAX in a circle, chopping feet or high knees. Each PAX calls out \"Fire\" all PAX hits the ground rolls right, merkin, roll back left, another merkin, then back up chopping. Go around the circle with the \"stop, drop and roll\" until all PAX have called \"Fire\".</p>",""
"exicon-1772134789829-fireworks","Fireworks","<p>Pax find suitable hill,</p><p>Slosey down, sprint up, at top do one star jump burpee, repeat process adding another rep to the star jump burpee each time…1, 2,3,4 etc typically ending at 10</p>",""
"exicon-1753308783006-flamingo-merkins","Flamingo Merkins","Bend at the waist, fingers touching your toes. Walk your hands out to a plank position while keeping one leg raised in the air. Perform a merkin, then walk your hands back, lowering your leg to the ground and touching your toes again. Stand upright and repeat the movement with the other leg for 1 rep. Rinse and repeat. Reps are determined by the Q.",""
"exicon-1753308783301-flat-tire","Flat Tire","<p>Partner 1 gets into wheelbarrow and takes 4 steps then does 1 derkin, takes 8 steps and does 2 derkins. Continue this 1:4 progression until each partner gets to 40:10, switching partners as needed. This gets it name because, you will look like a wheelbarrow with a flat tire.</p>",""
"exicon-1753308783510-flip-flops","Flip Flops","<p>In basic terms, the PAX will flip a large tire, then drop down for a burpee. If solo, he will rinse and repeat. In a team, the Flip Flop can be performed like a reverse Indian Run: Flip (flip tire), Flop (burpee), then move to the back of the line, with each man taking a turn.</p>",""
"exicon-1753308783712-flora-1-2-3","Flora 1-2-3","<p>Flora 1-2-3 Dora''s lazy, mean stepsister. All pax partner up, and grab a coupon, preferably of the 35 lbs CMU size (concrete masonry unit). 100 Merkins - P1 does 10 with feet on coupon. P2 holds plank with feet on his coupon. Flapjack. 200 LBCs - P1 does 20 LBC holding coupon high on chest. P2 holds legs 6\" off ground, and extends arms w/ coupon over chest. Flapjack. 300 Goblet Squats - P1 does 25 goblet squats. P2 lowers to bottom of goblet squat w/ coupon, and holds. Flapjack.</p>",""
"exicon-1753308783924-floyd-mayweather---plank-punch","Floyd Mayweather - Plank Punch","<p>From a basic plank position, raise one hand off the ground and punch across, behind and under the opposite arm, keeping the core stabilized. Complete in cadence and switch to other arm. Add a small dumbbell or brick for an extra challenge. Can also be completed from a Knerkin Plank position.</p>",""
"exicon-1753308784137-floyd-plank","Floyd Plank","Floyd Plank When smoked, lie on back with both hands behind head and one ankle up on one knee. Loudly complain of exhaustion for optimal results. Named in honor of F3 Churham legend Floyd.",""
"exicon-1753308784354-flutter-kicks","Flutter kicks","<p>Ab exercise done laying on your back. Legs off the ground, alternate kicking legs as if you're swimming. Usually done in cadence.</p>",""
"exicon-1753308784563-flying-nun","Flying Nun","<p>Lunge walk with little baby arm circles</p>",""
"exicon-1753308784767-flying-squirrel","Flying Squirrel","<p>Burpee done where the move from standing to pushup skips the raised push-up position. Usually done with arms and legs spread out like name of exercise.</p>",""
"exicon-1753308784982-flying-sun-gods-sobriety-style-(aka-nancy-kerrigans)","Flying sun gods sobriety style (AKA Nancy Kerrigans)","<p>Lean torso forward, raise one leg out to the back, reach arms out to side and do small arm circles. Count in cadence just like sun gods. Forward on one leg, then switch legs and reverse.</p>",""
